"TABLE_PRIVILEGES","SYSTEM VIEW","0","2019-03-02 20:33:32"
"TABLE_STATISTICS","SYSTEM VIEW","0","2019-03-02 20:33:32"
"TEMPORARY_TABLES","SYSTEM VIEW","0","2019-03-02 20:33:32"
"THREAD_STATISTICS","SYSTEM VIEW","0","2019-03-02 20:33:32"
"TRIGGERS","SYSTEM VIEW","0","2019-03-02 20:33:32"
"USER_PRIVILEGES","SYSTEM VIEW","0","2019-03-02 20:33:32"
"USER_STATISTICS","SYSTEM VIEW","0","2019-03-02 20:33:32"
"VIEWS","SYSTEM VIEW","0","2019-03-02 20:33:32"
"VIEW_ROUTINE_USAGE","SYSTEM VIEW","0","2019-03-02 20:33:32"
"VIEW_TABLE_USAGE","SYSTEM VIEW","0","2019-03-02 20:33:32"
